,TimeStamps,SensorValues
0,54361-06-19 03:10:00,0.0
1,54361-06-19 04:33:20,0.0
2,54361-06-19 05:56:40,0.0
3,54361-06-19 07:20:00,0.0
4,54361-06-19 08:43:20,0.0
5,54361-06-19 10:06:40,0.0
6,54361-06-20 01:23:20,0.0
7,54361-06-20 02:46:40,0.0
8,54361-06-20 04:10:00,0.0
9,54361-06-20 05:33:20,0.0
10,54361-06-20 06:56:40,0.0
11,54361-06-20 08:20:00,0.0
12,54361-06-20 09:43:20,0.0
13,54361-06-20 11:06:40,0.0
14,54361-06-20 12:30:00,0.0
15,54361-06-21 15:10:00,5.0
16,54361-06-21 16:33:20,5.0
17,54361-06-21 17:56:40,5.0
18,54361-06-21 19:20:00,5.0
19,54361-06-21 20:43:20,5.0
20,54361-06-21 09:36:40,5.0
21,54361-06-21 11:00:00,5.0
22,54361-06-21 12:23:20,5.0
23,54361-06-21 13:46:40,5.0
24,54361-06-22 09:13:20,5.0
25,54361-06-22 10:36:40,5.0
26,54361-06-22 12:00:00,5.0
27,54361-06-22 13:23:20,5.0
28,54361-06-22 14:46:40,5.0
29,54361-06-22 16:10:00,5.0
30,54361-06-22 17:33:20,5.0
31,54361-06-22 18:56:40,5.0
32,54361-06-22 20:20:00,5.0
33,54361-06-22 21:43:20,5.0
34,54361-06-22 23:06:40,5.0
35,54361-06-23 00:30:00,5.0
36,54361-06-23 01:53:20,5.0
37,54361-06-23 03:16:40,5.0
38,54361-06-23 04:40:00,5.0
39,54361-06-23 06:03:20,5.0
40,54361-06-23 07:26:40,5.0
41,54361-06-23 08:50:00,5.0
42,54361-06-30 17:13:20,5.0
43,54361-06-30 18:36:40,5.0
44,54361-06-30 20:00:00,5.0
45,54361-06-30 21:23:20,5.0
46,54361-06-30 22:46:40,5.0
47,54361-07-01 00:10:00,5.0
48,54361-07-01 01:33:20,5.0
49,54361-07-01 02:56:40,5.0
50,54361-07-01 04:20:00,5.0
51,54372-08-30 16:46:40,0.0
52,54372-08-31 18:36:40,0.0
53,54361-07-10 23:53:20,0.0
54,54361-07-12 22:16:40,0.0
55,54361-07-14 06:46:40,0.0
56,54361-07-16 01:16:40,0.0
57,54372-09-04 05:56:40,0.0
58,54372-09-07 17:16:40,0.0
59,54372-09-10 20:16:40,0.0
60,54372-09-11 07:56:40,0.0
61,54380-02-23 02:50:00,0.0
62,54380-02-25 22:36:40,0.0
63,54380-02-28 22:50:00,0.0
64,54380-03-01 13:10:00,0.0
65,54380-03-02 17:46:40,0.0
66,54380-03-04 07:33:20,0.0
67,54380-03-05 08:00:00,0.0
